"","chr","pos"
"48792","10",0
"37825","10",0.849654070279093
"43589","10",1.51194518003934
"9833","10",1.51194528003934
"7016","10",1.51194538003934
"55476","10",1.51194548003934
"51393","10",1.51194558003935
"46603","10",1.90417827522904
"14827","10",1.90417837522905
"13512","10",1.90417847522905
"3178","10",1.90417857522905
"6659","10",1.90417867522906
"34244","10",1.90417877522906
"23112","10",1.90417887522906
"8648","10",1.90417897522906
"20280","10",1.90417907522907
"44649","10",1.90417917522907
"33788","10",1.90417927522907
"31590","10",1.90417937522907
"8670","10",1.90417947522908
"39527","10",1.90417957522908
"38125","10",1.90417967522908
"21418","10",2.69256284199204
"50199","10",2.69256294199204
"30763","10",2.69256304199204
"45147","10",2.69256314199204
"41839","10",3.21662257438922
"9868","10",3.21662267438922
"13929","10",3.21662277438922
"28417","10",3.21662287438922
"35523","10",3.49263791476577
"9646","10",3.49263801476577
"53450","10",6.05721593575761
"24528","10",6.05721603575761
"4637","10",9.1845228678675
"11121","10",9.58799563970168
"24869","10",9.58799573970168
"55397","10",9.58799583970168
"426","10",10.6032162642904
"51913","10",10.9319559672451
"32787","10",11.2712025144137
"27439","10",13.577318504914
"41816","10",13.577318604914
"28710","10",13.839892128731
"47796","10",14.4211263792044
"43891","10",14.9789800292073
"33306","10",15.2392625498626
"300","10",15.2392626498626
"16593","10",17.87091289219
"43813","10",21.1103867964299
"49006","10",22.0931091805459
"45991","10",24.8544246552114
"23140","10",26.9005000039444
"6424","10",30.0446166159192
"33125","10",30.8741689209626
"36902","10",30.8741690209626
"42895","10",31.918532022642
"41345","10",32.1927810107205
"5453","10",33.9005872565951
"38764","10",34.4646587446135
"31683","10",34.7492874626203
"12851","10",34.7492875626203
"36932","10",34.7492876626203
"3451","10",34.7492877626203
"43619","10",35.0311839171601
"36897","10",35.9680784364776
"35789","10",40.7653512662246
"11506","10",44.6090683533776
"43496","10",49.7628331104755
"26467","10",50.0820883882936
"3723","10",50.3414417412844
"10713","10",50.3414418412844
"21587","10",50.9910862522742
"32311","10",53.0055609952041
"27185","10",53.3065749575037
"45255","10",53.3065750575037
"11418","10",53.6631742120768
"12940","10",53.6631743120768
"13744","10",54.3542718089243
"50823","10",54.3542719089243
"51203","10",54.3542720089243
"31364","10",54.6130257125493
"45513","10",55.0069022161118
"26333","10",55.4115722100434
"51780","10",55.4115723100434
"51440","10",56.4068902182768
"40993","10",57.4910171664831
"17912","10",57.4910172664831
"17089","10",57.8467317139512
"43374","10",58.5784119764974
"15958","10",59.006571380126
"36231","10",59.0065714801261
"34904","10",59.5324399260708
"3035","10",59.5324400260708
"20395","10",59.5324401260708
"24153","10",59.5324402260708
"32679","10",59.5324403260708
"33837","10",60.3004560339939
"50417","10",60.7968998993222
"40222","10",62.0584289511204
"29792","10",62.0584290511204
"44660","10",62.0584291511204
"38807","10",62.0584292511204
"38431","10",62.8338183040953
"47322","10",63.2139155531727
"32763","10",63.50147872061
"22351","10",63.7927056288436
"16735","10",63.7927057288436
"13440","10",63.7927058288436
"53270","10",64.3173211616639
"25462","10",64.3173212616639
"55023","10",64.5725926606545
"27331","10",65.3712440701711
"5243","10",65.6279731610613
"9402","10",65.6279732610613
"24087","10",65.6279733610613
"39279","10",65.8883778664867
"13471","10",65.8883779664867
"20332","10",65.8883780664867
"37360","10",65.8883781664867
"9266","10",66.4001362142143
"23978","10",66.4001363142143
"27653","10",66.4001364142143
"4903","10",66.4001365142144
"46588","10",66.4001366142143
"44057","10",67.195049620216
"12524","10",67.195049720216
"51076","10",67.195049820216
"34021","10",67.195049920216
"26992","10",67.195050020216
"49788","10",67.195050120216
"16249","10",67.195050220216
"24668","10",67.4366170863365
"11746","10",67.4366171863365
"49907","10",67.4366172863365
"32127","10",67.4366173863365
"35076","10",67.6968240509106
"6218","10",67.6968241509106
"49094","10",67.6968242509106
"26179","10",67.6968243509106
"16827","10",68.6627142188469
"53790","10",69.7776512695821
"21976","10",74.601457081897
"40","10",78.7927902308438
"53908","10",80.7434342268312
"7923","10",89.5688187709495
"41279","10",89.8552091221435
"47388","10",89.8552092221436
"12047","10",89.8552093221436
